WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	1	0.9	0.9	0.8	0.8	0.2	0.2	0.1
1	1	1	0.9	0.9	1	0.2	0.2	0.1
0.9	1	1	1	1	1	0.2	0.2	0.1
0.9	0.9	1	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.9	1	0.1	0.9
0.8	1	1	1	0.9	1	0.1	0.1	0.7
0.2	0.2	0.2	0.2	1	0.1	1	1	0.1
0.2	0.2	0.2	0.2	0.1	0.1	1	1	0.1
0.1	0.1	0.1	0.1	0.9	0.7	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	1	0.01	0.1	0.8	0.8	0.2	0.2	0.1
1	1	0.7	0.01	0.9	1	0.2	0.2	0.1
0.01	0.7	1	0.5	1	1	0.2	0.2	0.1
0.1	0.01	0.5	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.9	1	0.1	0.9
0.8	1	1	1	0.9	1	0.1	0.1	0.7
0.2	0.2	0.2	0.2	1	0.1	1	1	0.1
0.2	0.2	0.2	0.2	0.1	0.1	1	1	0.1
0.1	0.1	0.1	0.1	0.9	0.7	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	1	1	1	0.8	0.8	0.2	0.2	0.1
1	1	1	1	0.9	1	0.2	0.2	0.1
1	1	1	1	1	1	0.2	0.2	0.1
1	1	1	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.9	1	0.1	0.9
0.8	1	1	1	0.9	1	0.1	0.1	0.7
0.2	0.2	0.2	0.2	1	0.1	1	1	0.1
0.2	0.2	0.2	0.2	0.1	0.1	1	1	0.1
0.1	0.1	0.1	0.1	0.9	0.7	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	1	0.01	1	0.8	0.8	0.2	0.2	0.1
1	1	0.7	0.01	0.9	1	0.2	0.2	0.1
0.01	0.7	1	0.5	1	1	0.2	0.2	0.1
1	0.01	0.5	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.9	1	0.1	0.9
0.8	1	1	1	0.9	1	0.1	0.1	0.7
0.2	0.2	0.2	0.2	1	0.1	1	1	0.1
0.2	0.2	0.2	0.2	0.1	0.1	1	1	0.1
0.1	0.1	0.1	0.1	0.9	0.7	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	1	0.01	1	1	1	0.5	0.2	0.1
1	1	0.7	0.01	0.9	1	0.2	0.2	0.1
0.01	0.7	1	0.5	1	1	0.2	0.2	0.1
1	0.01	0.5	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.7	0.8	0.2	0.5
0.8	1	1	1	0.7	1	0.4	0.1	0.3
0.2	0.2	0.2	0.2	0.8	0.4	1	0.5	0.1
0.2	0.2	0.2	0.2	0.2	0.1	0.5	1	0.1
0.1	0.1	0.1	0.1	0.5	0.3	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	0.7	0.01	0.1	1	1	0.5	0.2	0.1
0.7	1	0.1	0.01	0.9	1	0.2	0.2	0.1
0.01	0.1	1	1	1	1	0.2	0.2	0.1
0.1	0.01	1	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.7	0.8	0.2	0.5
0.8	1	1	1	0.7	1	0.4	0.1	0.3
0.2	0.2	0.2	0.2	0.8	0.4	1	0.5	0.1
0.2	0.2	0.2	0.2	0.2	0.1	0.5	1	0.1
0.1	0.1	0.1	0.1	0.5	0.3	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	0.5	0.01	0.1	1	1	0.5	0.2	0.1
0.5	1	0.1	0.01	0.9	1	0.2	0.2	0.1
0.01	0.1	1	1	1	1	0.2	0.2	0.1
0.1	0.01	1	1	0.8	1	0.2	0.2	0.1
0.8	0.9	1	0.8	1	0.7	0.8	0.2	0.5
0.8	1	1	1	0.7	1	0.4	0.1	0.3
0.2	0.2	0.2	0.2	0.8	0.4	1	0.5	0.1
0.2	0.2	0.2	0.2	0.2	0.1	0.5	1	0.1
0.1	0.1	0.1	0.1	0.5	0.3	0.1	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	0.5	0.01	0.1	0.7	0.7	1	0.5	0.1
0.5	1	0.1	0.01	0.9	0.7	1	0.5	0.1
0.01	0.1	1	1	1	0.7	1	0.5	0.1
0.1	0.01	1	1	0.8	0.7	1	0.5	0.1
0.7	0.9	1	0.8	1	0.5	0.6	0.1	0.3
0.8	1	1	1	0.5	1	0.7	0.1	0.3
0.2	0.2	0.2	0.2	0.6	0.7	1	0.2	0.3
0.2	0.2	0.2	0.2	0.1	0.1	0.2	1	0.1
0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.1	1

WMed	EMed	Arab	NAf	AS	SAf	NAm	SAm	AU
1	0.5	0.01	0.1	0.7	0.7	1	0.5	0.1
0.5	1	0.1	0.01	0.9	0.7	1	0.5	0.1
0.01	0.1	1	1	1	0.7	1	0.5	0.1
0.1	0.01	1	1	0.8	0.7	1	0.5	0.1
0.7	0.9	1	0.8	1	0.5	0.6	0.1	0.3
0.8	1	1	1	0.5	1	0.7	0.1	0.3
0.2	0.2	0.2	0.2	0.6	0.7	1	0.2	0.3
0.2	0.2	0.2	0.2	0.1	0.1	0.2	1	0.1
0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.1	1

END
